matched pairs of er	kea:1042
beef	econ:978 auto:797 kea:869 StructMineDataPipeline:850 spacy_np:774 textrank:718
mssa	econ:833 auto:629 kea:762 StructMineDataPipeline:992 spacy_np:781 textrank:786
rat model	econ:1121 auto:376 rake:172 kea:668 StructMineDataPipeline:378 textrank:743
families	econ:384 auto:802 kea:131 StructMineDataPipeline:31 spacy_np:40 textrank:140
radiofrequency	econ:184 auto:295 kea:596 StructMineDataPipeline:808 spacy_np:732 textrank:542
carvedilol	econ:792 auto:607 kea:435 StructMineDataPipeline:426 spacy_np:378 textrank:630
world bank	econ:188 auto:37 rake:105 kea:861 StructMineDataPipeline:440 spacy_np:830
indirect evidence	econ:1167 auto:238 rake:334 kea:901 StructMineDataPipeline:444 spacy_np:444
uveitis tinu syndrome	econ:974 rake:118 kea:751 StructMineDataPipeline:1090
t cruzi	econ:919 auto:935 StructMineDataPipeline:938 spacy_np:825
leprosy	econ:741 auto:340 kea:479 StructMineDataPipeline:253 spacy_np:150 textrank:281
behavior	econ:192 auto:705 kea:1121 StructMineDataPipeline:216 spacy_np:233 textrank:104
marrow transplant recipients	econ:465 auto:450 rake:54 kea:683 StructMineDataPipeline:1091 spacy_np:1005
antigen presenting cells apcs	econ:787 auto:135 rake:58
oxygen transport	econ:1005 auto:182 rake:196 kea:959 StructMineDataPipeline:743 spacy_np:608
broth	econ:659 auto:1010 kea:851 StructMineDataPipeline:1024 spacy_np:782 textrank:741
crystals	econ:317 auto:661 kea:604 StructMineDataPipeline:666 spacy_np:500 textrank:415
meningiomas	econ:913 auto:597 kea:515 StructMineDataPipeline:477 spacy_np:425 textrank:540
avc	econ:687 auto:866 kea:335 StructMineDataPipeline:924 spacy_np:790 textrank:387
operable breast cancer	econ:652 auto:125 rake:94 kea:669 StructMineDataPipeline:647 spacy_np:602
connection	econ:763 auto:951 kea:872 StructMineDataPipeline:452 spacy_np:693 textrank:587
dermis	econ:539 auto:926 kea:1078 StructMineDataPipeline:492 spacy_np:873 textrank:702
colonies	econ:1117 auto:1006 kea:612 StructMineDataPipeline:540 spacy_np:718 textrank:496
control rate	econ:199 auto:1070 rake:200 kea:1058 StructMineDataPipeline:1035
exertion	econ:841 auto:636 kea:535 StructMineDataPipeline:415 spacy_np:373 textrank:607
columbia	econ:201 auto:632 kea:831 StructMineDataPipeline:568 spacy_np:422 textrank:725
instituto de salud carlos iii	econ:800 auto:115 rake:1 StructMineDataPipeline:1141 spacy_np:843
adenoma	econ:415 auto:774 kea:415 StructMineDataPipeline:348 spacy_np:386 textrank:502
fruit	econ:202 auto:357 kea:369 StructMineDataPipeline:470 spacy_np:526 textrank:212
staphylococci	econ:297 auto:189 kea:353 StructMineDataPipeline:337 spacy_np:347 textrank:530
calcification	econ:204 auto:595 kea:86 StructMineDataPipeline:300 spacy_np:275 textrank:371
subgroups	econ:709 auto:770 kea:533 StructMineDataPipeline:131 spacy_np:172 textrank:467
polymorphism	econ:205 auto:503 kea:389 StructMineDataPipeline:179 spacy_np:397 textrank:413
hispanic	econ:399 auto:243 kea:260 StructMineDataPipeline:471 textrank:242
intima	econ:208 auto:950 kea:164 StructMineDataPipeline:636 spacy_np:924 textrank:737
chemistry	econ:125 auto:567 kea:1007 StructMineDataPipeline:864 spacy_np:846 textrank:765
cardiovascular disease cvd	econ:210 auto:88 rake:60 kea:733 StructMineDataPipeline:331 spacy_np:309
injuries	econ:928 auto:721 kea:23 StructMineDataPipeline:68 spacy_np:73 textrank:71
calcium channel blocker	econ:356 auto:36 rake:72 kea:740 StructMineDataPipeline:695 spacy_np:942
luciferase	econ:320 auto:651 kea:749 StructMineDataPipeline:1050 spacy_np:925 textrank:564
myopathies	econ:217 auto:529 kea:748 StructMineDataPipeline:993 spacy_np:978 textrank:576
gme	econ:218 auto:520 kea:108 StructMineDataPipeline:614 spacy_np:509 textrank:287
pharmacy	econ:1026 auto:286 kea:493 StructMineDataPipeline:656 spacy_np:849 textrank:556
hiv-1 protease inhibitors	econ:782 kea:351 StructMineDataPipeline:920 spacy_np:897
antiviral activity	econ:920 auto:195 rake:245 kea:484 StructMineDataPipeline:493 spacy_np:514
dihydrotestosterone	econ:496 auto:746 kea:1037 StructMineDataPipeline:877 spacy_np:709 textrank:488
amoxycillin	econ:411 auto:443 kea:588 StructMineDataPipeline:295 spacy_np:304 textrank:580
bapwv	econ:724 auto:992 kea:467 StructMineDataPipeline:561 spacy_np:556 textrank:474
cntf	econ:970 auto:854 kea:420 StructMineDataPipeline:861 spacy_np:770 textrank:583
dehydroepiandrosterone	econ:224 auto:502 kea:398 StructMineDataPipeline:840 spacy_np:678 textrank:394
total hip replacement	econ:790 auto:24 rake:34 kea:598 StructMineDataPipeline:351 spacy_np:293
histologic type	econ:984 auto:261 rake:237 kea:1048 StructMineDataPipeline:777 spacy_np:800
stools	econ:947 auto:634 kea:513 StructMineDataPipeline:247 spacy_np:358 textrank:9
inhibition	econ:462 auto:851 kea:190 StructMineDataPipeline:30 spacy_np:17 textrank:393
bcat1	econ:797 kea:230 StructMineDataPipeline:1030 spacy_np:965
pdt efficacy	econ:839 rake:333 kea:1144 StructMineDataPipeline:1115 spacy_np:1100
bis	econ:381 auto:474 kea:270 StructMineDataPipeline:716 spacy_np:744 textrank:330
clindamycin	econ:562 auto:623 kea:457 StructMineDataPipeline:270 spacy_np:212 textrank:708
bruit	econ:997 auto:980 kea:478 StructMineDataPipeline:1036 spacy_np:1052 textrank:585
systemic circulation	econ:1004 auto:1053 rake:297 kea:999 StructMineDataPipeline:573 spacy_np:1053
fibroblasts	econ:663 auto:658 kea:139 StructMineDataPipeline:279 spacy_np:258 textrank:492
refugees	econ:728 auto:637 kea:111 StructMineDataPipeline:277 spacy_np:305 textrank:513
homocystinuria	econ:1014 auto:431 kea:489 StructMineDataPipeline:515 spacy_np:492 textrank:604
glycoprotein	econ:232 auto:712 kea:391 StructMineDataPipeline:549 spacy_np:692 textrank:608
hypercoagulability	econ:976 auto:645 kea:392 StructMineDataPipeline:479 spacy_np:436 textrank:639
hyperoxaluria	econ:600 auto:594 kea:567 StructMineDataPipeline:685 spacy_np:633 textrank:514
ataxia	econ:433 auto:454 kea:296 StructMineDataPipeline:323 spacy_np:354 textrank:397
oncology	econ:327 auto:257 kea:498 StructMineDataPipeline:312 spacy_np:261 textrank:517
growth	econ:235 auto:753 kea:184 StructMineDataPipeline:37 spacy_np:33 textrank:53
diclofenac	econ:236 auto:228 kea:654 StructMineDataPipeline:321 spacy_np:254 textrank:406
vertebrae	econ:425 auto:940 kea:455 StructMineDataPipeline:590 spacy_np:786 textrank:433
other patients	econ:1155 kea:677 StructMineDataPipeline:118 spacy_np:195
rabies	econ:282 auto:371 kea:66 StructMineDataPipeline:289 spacy_np:297 textrank:190
icl	econ:240 auto:886 kea:635 StructMineDataPipeline:1022 spacy_np:850 textrank:497
vital role	econ:1131 auto:985 rake:342 kea:953 StructMineDataPipeline:641 textrank:482
oswestry disability index 75 3	rake:13
essential role	econ:960 auto:1088 rake:322 kea:916 StructMineDataPipeline:369 spacy_np:900
peg	econ:1084 auto:547 kea:482 StructMineDataPipeline:886 spacy_np:686 textrank:195
diethylstilbestrol des exposure	econ:1048 rake:125 kea:1090 StructMineDataPipeline:1142 spacy_np:1102
lipid	econ:245 auto:668 kea:687 StructMineDataPipeline:589 spacy_np:476 textrank:228
follicles	econ:1081 auto:910 kea:314 StructMineDataPipeline:717 spacy_np:809 textrank:324
chronic renal failure glomerular filtration	rake:11
tdf	econ:246 auto:605 kea:617 StructMineDataPipeline:1016 spacy_np:845 textrank:235
sedimentation	econ:248 auto:998 kea:149 StructMineDataPipeline:1073 spacy_np:1007 textrank:557
glycerol	econ:941 auto:974 kea:227 StructMineDataPipeline:739 spacy_np:634 textrank:454
gammaglobulin	econ:455 auto:639 kea:642 StructMineDataPipeline:995 spacy_np:874 textrank:634
crlm	econ:1103 auto:982 kea:518 StructMineDataPipeline:1007 spacy_np:917 textrank:686
vasodilator	econ:252 auto:682 kea:511 StructMineDataPipeline:615 spacy_np:875 textrank:294
e-selectin	econ:869 kea:336 StructMineDataPipeline:784 spacy_np:586
western australia	econ:732 auto:31 rake:90 kea:491 StructMineDataPipeline:150 spacy_np:104
predisposition	econ:650 auto:870 kea:430 StructMineDataPipeline:250 spacy_np:366 textrank:704
months	econ:1086 auto:1001 kea:38 StructMineDataPipeline:1 spacy_np:242 textrank:6
tertiary hospital	econ:988 auto:381 rake:246 kea:820 StructMineDataPipeline:486
cmv infection	econ:79 auto:306 rake:208 kea:337 StructMineDataPipeline:418 spacy_np:364 textrank:601
apomorphine	econ:962 auto:692 kea:741 StructMineDataPipeline:805 spacy_np:657 textrank:582
sod	econ:308 auto:608 kea:387 StructMineDataPipeline:891 spacy_np:739 textrank:204
hypercoagulable state	econ:697 auto:152 rake:306 kea:849 StructMineDataPipeline:544 spacy_np:1037
exacerbations of chronic obstructive pulmonary disease	auto:695
cefepime	econ:730 auto:558 kea:50 StructMineDataPipeline:409 spacy_np:344 textrank:261
lhrh	econ:437 auto:562 kea:974 StructMineDataPipeline:979 spacy_np:876 textrank:575
gallstone	econ:256 auto:374 kea:475 StructMineDataPipeline:1017 spacy_np:946 textrank:278
qrs	econ:640 auto:394 kea:316 StructMineDataPipeline:1000 spacy_np:835 textrank:535
cevd	econ:1146 auto:981 kea:832 StructMineDataPipeline:1038 spacy_np:877 textrank:465
acute graft-versus-host disease	econ:601 kea:693 StructMineDataPipeline:548 spacy_np:506
multimorbidity	econ:1144 auto:600 kea:346 StructMineDataPipeline:375 spacy_np:339 textrank:458
mississippi	econ:884 auto:308 kea:564 StructMineDataPipeline:601 spacy_np:507 textrank:698
outbreaks	econ:390 auto:872 kea:222 StructMineDataPipeline:143 spacy_np:146 textrank:265
fraction	econ:1151 auto:958 kea:1087 StructMineDataPipeline:307 spacy_np:646 textrank:483
bortezomib	econ:716 auto:609 kea:326 StructMineDataPipeline:397 spacy_np:372 textrank:289
mammals	econ:572 auto:917 kea:933 StructMineDataPipeline:434 spacy_np:428 textrank:689
acute lung injury	econ:799 auto:133 rake:47 kea:725 StructMineDataPipeline:373 spacy_np:330
rituximab	econ:264 auto:251 kea:559 StructMineDataPipeline:202 spacy_np:244 textrank:313
ca-125	econ:265 kea:590 StructMineDataPipeline:957 spacy_np:1010
exclusion criteria	econ:784 auto:142 rake:220 kea:1072 StructMineDataPipeline:445 spacy_np:485
myopia	econ:577 auto:214 kea:339 StructMineDataPipeline:362 spacy_np:323 textrank:485
female gender	econ:987 auto:660 rake:124 kea:1022 StructMineDataPipeline:617 spacy_np:573
our center	spacy_np:324
doxorubicin	econ:636 auto:459 kea:329 StructMineDataPipeline:206 spacy_np:185 textrank:378
glioblastomas	econ:908 auto:737 kea:817 StructMineDataPipeline:662 spacy_np:569 textrank:590
cachexia	econ:626 auto:366 kea:347 StructMineDataPipeline:505 spacy_np:438 textrank:597
menstruation	econ:796 auto:512 kea:473 StructMineDataPipeline:296 spacy_np:259 textrank:596
cbd	econ:272 auto:564 kea:665 StructMineDataPipeline:1025 spacy_np:908 textrank:521
deaths	econ:273 auto:844 kea:28 StructMineDataPipeline:15 spacy_np:20 textrank:58
ticarcillin plus clavulanic acid	econ:653 auto:93 rake:6 spacy_np:1012
physician visits	econ:686 auto:213 rake:114 kea:714 StructMineDataPipeline:719 spacy_np:683
symptom onset	econ:1169 auto:144 rake:130 kea:808 StructMineDataPipeline:420 spacy_np:320
hepatitis c virus	econ:445 auto:425 rake:9 StructMineDataPipeline:287 spacy_np:138
anticancer drug	econ:1075 auto:151 rake:201 kea:1051 StructMineDataPipeline:980 spacy_np:1055
diagnosed diabetes	auto:1042 rake:240 kea:837 StructMineDataPipeline:871 spacy_np:670 textrank:478
titer	econ:275 auto:1011 kea:506 StructMineDataPipeline:394 spacy_np:604 textrank:447
ctcs	econ:363 auto:385 kea:199 StructMineDataPipeline:599 spacy_np:524 textrank:363
excretion	econ:291 auto:876 kea:135 StructMineDataPipeline:177 spacy_np:226 textrank:98
oestrogen	econ:278 auto:337 kea:284 StructMineDataPipeline:221 spacy_np:188 textrank:230
lean body	econ:279 rake:357 kea:679 StructMineDataPipeline:1120 textrank:752
elderly subjects	econ:1051 auto:328 rake:161 kea:848 StructMineDataPipeline:448 spacy_np:481
transgender	econ:350 auto:788 kea:2 StructMineDataPipeline:1103 spacy_np:1069 textrank:734
immunity	econ:281 auto:722 kea:239 StructMineDataPipeline:135 spacy_np:109 textrank:171
germline	econ:734 auto:197 kea:647 StructMineDataPipeline:959 spacy_np:947 textrank:616
supine position	econ:921 auto:553 rake:248 kea:844 StructMineDataPipeline:446 spacy_np:948
pathologist	econ:1001 auto:890 kea:615 StructMineDataPipeline:688 spacy_np:984 textrank:678
back pain	econ:283 auto:892 rake:88 kea:603 StructMineDataPipeline:480 spacy_np:266
diet	econ:284 auto:676 kea:310 StructMineDataPipeline:106 spacy_np:47 textrank:192
ammonium	econ:345 auto:773 kea:608 StructMineDataPipeline:1018 spacy_np:982 textrank:701
peritoneal cavity	econ:966 auto:681 rake:147 kea:915 StructMineDataPipeline:449 spacy_np:949
neuropathology	econ:830 auto:621 kea:771 StructMineDataPipeline:518 spacy_np:508 textrank:75
contacts	econ:333 auto:955 kea:526 StructMineDataPipeline:251 spacy_np:342 textrank:420
depth	econ:634 auto:959 kea:966 StructMineDataPipeline:328 spacy_np:382 textrank:753
ingestion	econ:596 auto:928 kea:202 StructMineDataPipeline:109 spacy_np:101 textrank:211
amenorrhea	econ:292 auto:504 kea:572 StructMineDataPipeline:340 spacy_np:393 textrank:641
intracerebral haemorrhage	econ:934 auto:0 rake:177 kea:395 StructMineDataPipeline:487 spacy_np:404
ischaemia	econ:295 auto:964 kea:257 StructMineDataPipeline:281 spacy_np:269 textrank:266
lower limb	econ:293 auto:49 rake:269 kea:650 spacy_np:902 textrank:757
vldl	econ:103 auto:542 kea:505 StructMineDataPipeline:741 spacy_np:557 textrank:658
alk	econ:0 auto:435 kea:189 StructMineDataPipeline:821 spacy_np:724 textrank:108
cm h2o	econ:857 auto:41 kea:646 StructMineDataPipeline:546 spacy_np:1097
mexican americans	econ:971 auto:10 rake:189 kea:256 StructMineDataPipeline:557 spacy_np:536
muscle fatigue	econ:575 auto:818 rake:283 kea:258 StructMineDataPipeline:1046 spacy_np:936
uva	econ:1017 auto:912 kea:127 StructMineDataPipeline:1121 spacy_np:1060 textrank:440
roc curve analysis	econ:276 auto:192 rake:83 kea:949 StructMineDataPipeline:745 spacy_np:680
positron emission	econ:101 auto:121 kea:410 StructMineDataPipeline:1113 spacy_np:738 textrank:739
6 days	auto:1080 rake:142 spacy_np:443
mcf-7	econ:855 kea:548 StructMineDataPipeline:1032 spacy_np:1044
ger	econ:43 auto:453 kea:122 StructMineDataPipeline:441 spacy_np:445 textrank:346
co2	econ:469 auto:277 kea:247 StructMineDataPipeline:542 spacy_np:590
daiichi sankyo	econ:538 auto:17 rake:190 kea:1062 StructMineDataPipeline:875 spacy_np:766
apoptosis	econ:690 auto:430 kea:60 StructMineDataPipeline:53 spacy_np:28 textrank:57
hispanics	econ:310 auto:161 kea:409 StructMineDataPipeline:217 spacy_np:179 textrank:241
lymphoma	econ:225 auto:614 kea:95 StructMineDataPipeline:112 spacy_np:81 textrank:232
central america	econ:570 auto:64 rake:228 kea:715 StructMineDataPipeline:624 spacy_np:540
ntds	econ:80 auto:341 kea:459 StructMineDataPipeline:528 spacy_np:448 textrank:618
mdct	econ:517 auto:541 kea:605 StructMineDataPipeline:758 spacy_np:622 textrank:499
dengue	econ:230 auto:406 kea:16 StructMineDataPipeline:284 spacy_np:240 textrank:113
erythromycin	econ:466 auto:317 kea:571 StructMineDataPipeline:210 spacy_np:137 textrank:276
sri lanka	econ:492 auto:16 rake:191 kea:920 StructMineDataPipeline:593 spacy_np:511
left ventricular	econ:773 auto:6 rake:92 kea:768 StructMineDataPipeline:1009 textrank:298
puerto ricans	econ:949 auto:1 rake:271 kea:1060 StructMineDataPipeline:878 spacy_np:824
lns	econ:392 auto:230 kea:402 StructMineDataPipeline:424 spacy_np:486 textrank:500
glaxosmithkline	econ:428 auto:224 kea:637 StructMineDataPipeline:370 spacy_np:795 textrank:79
transportation	econ:953 auto:891 kea:756 StructMineDataPipeline:511 spacy_np:477 textrank:168
homicide	econ:347 auto:266 kea:419 StructMineDataPipeline:405 spacy_np:348 textrank:320
arthritis	econ:55 auto:579 kea:54 StructMineDataPipeline:110 spacy_np:76 textrank:180
sarcoidosis	econ:383 auto:321 kea:140 StructMineDataPipeline:77 spacy_np:55 textrank:56
ald	econ:1047 auto:622 kea:417 StructMineDataPipeline:747 spacy_np:613 textrank:468
hypothyroidism	econ:3 auto:378 kea:3 StructMineDataPipeline:87 spacy_np:56 textrank:348
gallbladder	econ:408 auto:415 kea:128 StructMineDataPipeline:267 spacy_np:610 textrank:376
osa	econ:4 auto:449 kea:52 StructMineDataPipeline:213 spacy_np:213 textrank:252
tumor suppressor gene	econ:434 auto:610 rake:77 kea:747 StructMineDataPipeline:905 spacy_np:997
decisions	econ:341 auto:468 kea:212 StructMineDataPipeline:133 spacy_np:96 textrank:48
lv systolic	econ:403 auto:299 rake:166 kea:1118 StructMineDataPipeline:1062 textrank:653
homocysteine	econ:6 auto:204 kea:252 StructMineDataPipeline:283 spacy_np:250 textrank:416
pretreatment	econ:710 auto:270 kea:460 StructMineDataPipeline:188 spacy_np:139 textrank:77
tka	econ:135 auto:476 kea:529 StructMineDataPipeline:430 spacy_np:381 textrank:645
histiocytes	econ:903 auto:1012 kea:757 StructMineDataPipeline:625 spacy_np:583 textrank:659
telmisartan	econ:500 auto:521 kea:439 StructMineDataPipeline:367 spacy_np:363 textrank:183
kwashiorkor	econ:972 auto:995 kea:383 StructMineDataPipeline:583 spacy_np:501 textrank:746
confirmation	econ:439 auto:843 kea:944 StructMineDataPipeline:196 spacy_np:162 textrank:156
f-fdg pet	econ:576 kea:206 StructMineDataPipeline:1044 spacy_np:912
shorter hospital	econ:688 auto:1099 kea:995 spacy_np:756
school	econ:630 auto:383 kea:796 StructMineDataPipeline:241 spacy_np:299 textrank:128
progesterone	econ:11 auto:350 kea:56 StructMineDataPipeline:232 spacy_np:222 textrank:145
great britain	econ:629 auto:60 rake:183 kea:692 StructMineDataPipeline:332 spacy_np:289
cholesterol	econ:12 auto:640 kea:30 StructMineDataPipeline:65 spacy_np:42 textrank:100
burkitt	econ:481 auto:550 kea:246 StructMineDataPipeline:621 spacy_np:913 textrank:51
pregnancies	econ:749 auto:810 kea:163 StructMineDataPipeline:54 spacy_np:128 textrank:127
open heart surgery	econ:940 auto:83 rake:32 kea:737 StructMineDataPipeline:539 spacy_np:462
pmc	econ:1041 auto:840 kea:500 StructMineDataPipeline:869 spacy_np:760 textrank:470
organisms	econ:592 auto:760 kea:151 StructMineDataPipeline:83 spacy_np:143 textrank:93
oropharyngeal candidiasis	econ:906 auto:73 rake:186 kea:810 StructMineDataPipeline:646 spacy_np:537
indian	econ:655 auto:233 kea:1080 StructMineDataPipeline:1096 textrank:392
q waves	econ:880 auto:834 rake:128 StructMineDataPipeline:830 spacy_np:726 textrank:790
hbv dna levels	econ:994 auto:815 rake:69 kea:745 StructMineDataPipeline:929 spacy_np:915
the commonest cause	spacy_np:475
median follow-up	econ:268 kea:791 StructMineDataPipeline:192 spacy_np:418
reaction-restriction fragment length	econ:304 kea:1059
hours	econ:1135 auto:987 kea:168 StructMineDataPipeline:5 spacy_np:296 textrank:30
les	econ:19 auto:482 kea:213 StructMineDataPipeline:1004 spacy_np:960 textrank:434
reason	econ:419 auto:997 kea:1142 StructMineDataPipeline:185 spacy_np:525 textrank:386
neuroleptics	econ:701 auto:1026 kea:929 StructMineDataPipeline:799 spacy_np:669 textrank:70
nf-kappab	econ:420 kea:426 StructMineDataPipeline:478 spacy_np:385
ctl	econ:536 auto:391 kea:601 StructMineDataPipeline:866 spacy_np:857 textrank:318
ipf	econ:213 auto:472 kea:146 StructMineDataPipeline:301 spacy_np:246 textrank:475
sensitivity analysis	econ:899 auto:514 rake:234 kea:1018 StructMineDataPipeline:467 spacy_np:467
either treatment	auto:1112 rake:160 spacy_np:572
the same extent	auto:1091 spacy_np:532
ureters	econ:814 auto:1024 kea:838 StructMineDataPipeline:728 spacy_np:916 textrank:649
south asia	econ:646 auto:71 rake:174 kea:853 StructMineDataPipeline:574 spacy_np:505
glucose and lipid metabolism	econ:895 auto:674 spacy_np:617
hospital	econ:30 auto:560 kea:49 StructMineDataPipeline:12 spacy_np:10 textrank:15
resident	econ:550 auto:544 kea:868 StructMineDataPipeline:577 spacy_np:883 textrank:221
australian	econ:33 auto:322 kea:627 StructMineDataPipeline:751 spacy_np:961 textrank:184
berlin	econ:551 auto:326 kea:842 StructMineDataPipeline:1059 spacy_np:954 textrank:699
acute salpingitis	econ:1095 auto:290 rake:198 kea:486 StructMineDataPipeline:775 spacy_np:703
penis	econ:739 auto:782 kea:754 StructMineDataPipeline:579 spacy_np:903 textrank:451
lung adenocarcinomas	econ:925 auto:191 rake:235 kea:1054 StructMineDataPipeline:907 spacy_np:848
polypeptide	econ:801 auto:648 kea:403 StructMineDataPipeline:823 spacy_np:928 textrank:609
hormone-releasing factor	econ:491 kea:334 spacy_np:1035
improved glycemic control	auto:922 rake:97 kea:877 StructMineDataPipeline:872 spacy_np:705 textrank:174
lords	econ:742 auto:897 kea:540 StructMineDataPipeline:791 spacy_np:661 textrank:133
single daily dose	econ:1002 auto:1051 rake:48 kea:672 StructMineDataPipeline:584 textrank:72
hmgb1	econ:563 auto:667 kea:655 StructMineDataPipeline:853 spacy_np:863
india	econ:457 auto:199 kea:396 StructMineDataPipeline:96 spacy_np:52 textrank:103
autumn	econ:1021 auto:907 kea:1046 StructMineDataPipeline:644 spacy_np:743 textrank:33
stroke	econ:44 auto:467 kea:5 StructMineDataPipeline:17 spacy_np:4 textrank:55
schistosoma mansoni	econ:527 auto:40 rake:216 kea:1069 StructMineDataPipeline:852 spacy_np:704
rods	econ:46 auto:771 kea:1106 StructMineDataPipeline:1078 textrank:656
offspring	econ:808 auto:565 kea:327 StructMineDataPipeline:187 spacy_np:169 textrank:430
carriers	econ:554 auto:796 kea:261 StructMineDataPipeline:126 spacy_np:112 textrank:166
arthritis ra	econ:303 kea:712 StructMineDataPipeline:968 spacy_np:967
regions	econ:48 auto:849 kea:333 StructMineDataPipeline:139 spacy_np:173 textrank:155
hyperkalemia	econ:397 auto:236 kea:362 StructMineDataPipeline:248 spacy_np:224 textrank:494
ketoconazole	econ:325 auto:174 kea:201 StructMineDataPipeline:288 spacy_np:322 textrank:255
central australia	econ:665 auto:708 rake:244 kea:481 StructMineDataPipeline:592 spacy_np:499
cd31	econ:331 auto:780 kea:313 StructMineDataPipeline:1066 spacy_np:837
aom	econ:92 auto:743 kea:620 StructMineDataPipeline:692 spacy_np:576 textrank:545
last menstrual period	econ:786 auto:1043 rake:38 kea:870 StructMineDataPipeline:766 spacy_np:958
jellyfish	econ:296 auto:792 kea:797 StructMineDataPipeline:1019 spacy_np:929 textrank:581
coal	econ:187 auto:916 kea:181 StructMineDataPipeline:984 spacy_np:854 textrank:364
hfe	econ:587 auto:726 kea:477 StructMineDataPipeline:903 spacy_np:772 textrank:385
first manifestation	econ:1115 rake:252 kea:801 StructMineDataPipeline:606 spacy_np:1080
advanced parkinson s disease	econ:943 auto:1067 StructMineDataPipeline:691 spacy_np:596
constituents	econ:1038 auto:1018 kea:909 StructMineDataPipeline:679 spacy_np:834 textrank:223
entity	econ:63 auto:961 kea:722 StructMineDataPipeline:260 spacy_np:1120 textrank:38
experiments	econ:464 auto:272 kea:342 StructMineDataPipeline:335 spacy_np:360 textrank:236
ttc	econ:1046 auto:904 kea:691 StructMineDataPipeline:928 spacy_np:775 textrank:758
central africa	econ:707 auto:106 rake:204 kea:867 StructMineDataPipeline:535 spacy_np:538
acth	econ:65 auto:347 kea:115 StructMineDataPipeline:294 spacy_np:263 textrank:101
h2o2	econ:67 auto:638 kea:279 StructMineDataPipeline:730 spacy_np:728
the protective effects	spacy_np:539
nineteen patients	auto:970 rake:265 kea:1008 StructMineDataPipeline:352 spacy_np:319 textrank:538
weeks	econ:981 auto:824 kea:94 StructMineDataPipeline:3 spacy_np:209 textrank:29
babies	econ:299 auto:735 kea:126 StructMineDataPipeline:63 spacy_np:97 textrank:220
renal allograft rejection	econ:1060 auto:132 rake:81 kea:983 StructMineDataPipeline:860 spacy_np:753
dkk1	econ:813 auto:836 kea:764 StructMineDataPipeline:894 spacy_np:820
cmv retinitis	econ:647 auto:58 rake:233 kea:702 StructMineDataPipeline:706 spacy_np:650
half	econ:385 auto:499 kea:1112 StructMineDataPipeline:38 spacy_np:108 textrank:18
north queensland	econ:74 auto:67 rake:316 kea:568 StructMineDataPipeline:537 spacy_np:490
normal value	econ:718 auto:1108 rake:170 kea:804 StructMineDataPipeline:793 textrank:759
functional residual capacity	econ:856 auto:72 rake:87 kea:1032 StructMineDataPipeline:837 spacy_np:671
older ages	econ:1148 auto:1038 rake:250 kea:1005 spacy_np:570
gallstones	econ:775 auto:370 kea:172 StructMineDataPipeline:191 spacy_np:161 textrank:277
hypertensive rat	econ:76 auto:1035 rake:287 kea:710 StructMineDataPipeline:969 textrank:623
nervous system activity	econ:485 auto:1098 kea:829
eikenella	econ:391 auto:643 kea:532 StructMineDataPipeline:934 spacy_np:618 textrank:706
doses	econ:83 auto:965 kea:182 StructMineDataPipeline:28 spacy_np:44 textrank:10
nucleic acids	econ:1106 auto:23 rake:317 kea:713 StructMineDataPipeline:943 spacy_np:909
nma	econ:249 auto:700 kea:348 StructMineDataPipeline:523 spacy_np:701 textrank:710
contrast material	econ:1011 auto:118 rake:184 kea:582 StructMineDataPipeline:801 spacy_np:749
pi3k akt	econ:448 auto:114 rake:277 kea:701 StructMineDataPipeline:973 spacy_np:1088
safety	econ:89 auto:536 kea:116 StructMineDataPipeline:8 spacy_np:6 textrank:179
hcg	econ:90 auto:276 kea:444 StructMineDataPipeline:481 spacy_np:431 textrank:256
emtricitabine	econ:447 auto:988 kea:554 StructMineDataPipeline:545 spacy_np:542 textrank:779
adjusted hazard ratio	econ:338 auto:249 rake:44 kea:1061 StructMineDataPipeline:726 spacy_np:886
cause	econ:91 auto:1041 kea:175 StructMineDataPipeline:11 spacy_np:202 textrank:45
healthy blood	econ:779 rake:347 kea:967
eswl	econ:635 auto:924 kea:720 StructMineDataPipeline:829 spacy_np:776 textrank:548
ecd	econ:870 auto:742 kea:286 StructMineDataPipeline:602 spacy_np:512 textrank:331
eosinophil	econ:96 auto:715 kea:539 StructMineDataPipeline:917 spacy_np:822 textrank:189
schistosomiasis	econ:622 auto:240 kea:368 StructMineDataPipeline:272 spacy_np:265 textrank:504
isi	econ:400 auto:783 kea:1103 StructMineDataPipeline:1126 spacy_np:1117 textrank:730
odds ratios ors	econ:501 auto:104 rake:70 kea:890 StructMineDataPipeline:388 spacy_np:541
t1dm	econ:451 auto:426 kea:658 StructMineDataPipeline:585 spacy_np:528
pcbs	econ:1018 auto:826 kea:308 StructMineDataPipeline:888 spacy_np:788 textrank:680
medical school graduates	econ:330 auto:439 rake:52 kea:744 StructMineDataPipeline:994 spacy_np:944
interviews	econ:369 auto:247 kea:675 StructMineDataPipeline:238 spacy_np:262 textrank:584
body-surface area	econ:1085 kea:782 StructMineDataPipeline:454 spacy_np:399
pni	econ:1145 auto:799 kea:341 StructMineDataPipeline:826 spacy_np:764 textrank:546
southern africa	econ:526 auto:27 rake:255 kea:767 StructMineDataPipeline:472 spacy_np:455
niemann-pick	econ:668 kea:717
granulopoiesis	econ:998 auto:979 kea:1109 StructMineDataPipeline:817 spacy_np:673 textrank:23
